Application_Number,Filing_Date,Mark,Applicant,Nice_class
4/1921/00521949,"14 September
2021",NATURE CARES,"Teacher Celine Group, Inc. [PH]","5; 29; 30
and32"
4/2022/00505278,4 March 2022,BLANK CO.,"ESGUERRA - DELA CRUZ, MA. DOLORES M. [PH]",35
4/2022/00508152,1 April 2022,IPLATFORM,ISJ Technology Sdn. Bhd. [MY],9
4/2022/00510225,27 April 2022,MTEALICIOUS,"WU, JINXI [PH]",29 and30
4/2022/00518679,28 July 2022,ELEKS,PSTECH INC. [PH],9
4/2022/00519679,8 August 2022,FREEVEE,"Amazon Technologies, Inc. [US]",38
4/2022/00520064,11 August 2022,NICARIGHT,MEDETHIX INC. [PH],5
4/2022/00520266,13 August 2022,MAD MARK`S,"Isidro, Mark Joseph [PH]","30; 32
and43"
4/2022/00523341,"14 September
2022",NAILS AND BODY WORX,"Yabut, Ma. Teresa [PH]",44
4/2022/00523451,"15 September
2022",KAI,"Hong, Wenkai [CN]",18
4/2022/00524780,"29 September
2022",GJG,"CAI, ZHICHAO [PH]",10
4/2022/00526267,14 October 2022,RAY SAVINGS SOLUTIONS,"MedImpact Holdings, Inc. [US]",35
4/2022/00526758,19 October 2022,RITEMIX,"TAN, DERRICK [PH]",1 and19
4/2022/00527491,26 October 2022,JEAN MISS,"HERRERA, LESLIE ANNE A [PH]",3
4/2022/00530739,"9 December
2022",PILOTOS,"JANDA, HAROLD R. [PH]","3; 25
and43"
4/2022/00531641,"20 December
2022",ASTER SPRING,Beuxstar Sdn. Bhd. [MY],44
4/2022/00532139,"28 December
2022",CHEESE ROLLS BY MISS J,"Pernia, Carlos Roy [PH]","29; 30; 35
and43"
4/2023/00000838,"21 September
2023",R STREET FOOD - APPROVED DA BALLS,"GERNANDISO, RONALLI PARICO [PH]",43
4/2023/00000840,"21 September
2023",CRUNCHY PAWS,"ROBLES, ANDREA MAE D. [PH]",31
4/2023/00000868,"29 September
2023",NYAL CAFE NYAL,"Agustin, Sunny [PH]",43
4/2023/00501256,17 January 2023,HAIRMANOS Y` HAIRMANAS SALON,JULIE ANN RONQUILLO GOZUN [PH],44
4/2023/00501537,19 January 2023,DIANA COLLECTION,"Capito Stationery Mfg., Co. Inc. [PH]",16 and26
4/2023/00502970,7 February 2023,EDGE POOL BAR,"SM PRIME HOLDINGS, INC. [PH]",43
4/2023/00507383,28 March 2023,OLEG CASSINI,"David's Bridal, Inc. [US]",3 and25
4/2023/00515252,22 June 2023,KIMISAN,Philippine Global Coconut Oil Mill Inc. [PH],40
4/2023/00518961,28 July 2023,IMISH,"Wang, Yi Lu [PH]","1; 3; 5; 21
and29"
4/2023/00518992,28 July 2023,NEWDEX,"Tan, Francis Alvin [PH]",11 and17
4/2023/00518995,28 July 2023,CHANG TRADITIONAL THAI MASSAGE,"TIU, JOHN JASON [PH]",44
4/2023/00519122,31 July 2023,MOUNTAIN PURE APO SPRING WATER,MINDANAO WATER BOTTLING CORPORATION [PH],32
4/2023/00519188,31 July 2023,SUMLETT,"Liu, Yang [CN]",9
4/2023/00519203,31 July 2023,OLÉ BY KOTON,KOTON MAGAZACILIK TEKSTIL SANAYI VE TICARET ANONIM SIRKETI [TR],"14; 18
and25"
4/2023/00519207,31 July 2023,KOTON,"KOTON MAGAZACILIK TEKSTIL
SANAYI VE TICARET ANONIM SIRKETI [TR]","18; 25
and35"
4/2023/00521734,24 August 2023,AWARDS CENTRAL FOR THE WIN,"Awards Central Philippines, Inc. [PH]",19
4/2023/00522061,29 August 2023,TRINITI,Spectrumed Inc. [PH],44
4/2023/00522070,29 August 2023,DORS DIGITIZED OFFICIAL RECEIPT SYSTEM,"Eastland Printink, Inc. [PH]",38 and42
4/2023/00522072,28 August 2023,ECC HIVE,ECC HIVE INC. [CA],"35; 39; 41
and45"
4/2023/00522073,28 August 2023,SSR IMMIGRATION SERVICE INC.,ECC HIVE INC. [CA],"35; 39; 41
and45"
4/2023/00522081,29 August 2023,KUSINA NI KAMBAL,Kusina ni Kambal Food and Catering Corporation [PH],"29; 30; 32
and43"
4/2023/00522083,29 August 2023,AUTO AD DISTRICT,Autodistrict Automotive Care Services OPC [PH],37
4/2023/00522084,29 August 2023,NEULAB,2AM GLOBAL VENTURES INC [PH],"18; 25
and35"
4/2023/00522097,29 August 2023,INFINITEEPH TRENDS,INSPI PHILIPPINE VENTURE MERCHANDISE CORP [PH],18 and25
4/2023/00522113,29 August 2023,KS SAVE YOUR SOLE,Donovan John Telan [PH],37
4/2023/00522383,31 August 2023,"HOME OF SCENTS
MAKING YOUR LIFE MORE COLORFUL",Classique Herbs Corporation [PH],3
4/2023/00522385,31 August 2023,IKINARI STEAK,"Pepper Food Service Co., Ltd. [JP]",29 and43
4/2023/00522481,"1 September
2023",UBEBE,"Lee, Myeongguk [KR]",30
4/2023/00522484,"1 September
2023","ADELANTE ""TASTE THAT YOU CAN`T RESIST""","Bas, Mark Lorenze [PH]",43
4/2023/00522494,"1 September
2023","POWERFIX YOUR TRUSTED GADGET
REPAIR PARTNER","De Leon, Leila [PH]",35
4/2023/00522701,"4 September
2023",IP ITIK PINAS,Bureau of Animal Industry - National Swine and Poultry Research and Development Center (BAI-NSPRDC) [PH],31
4/2023/00522702,"4 September
2023",PABORITO POULT FEEDS,Paborito Agribiotech Solutions Corp [PH],31
,,,,
4/2023/00522706,"4 September
2023",MURMURER,FIIO INTERNATIONAL CORPORATION [PH],18
4/2023/00522707,"4 September
2023",ZYD4,ZYDUS HEALTHCARE PHILIPPINES INC [PH],5
4/2023/00522726,"4 September
2023",RAKUTEN,"Rakuten Group, Inc. [JP]","35; 41
and42"
4/2023/00522727,"4 September
2023",R,"Rakuten Group, Inc. [JP]","35; 41
and42"
4/2023/00522729,"4 September
2023",BINGBING! KOREAN FRIED BALLS,Poppers Pop Corporation [PH],43
4/2023/00522745,"4 September
2023",LORAINE HORMONAL DRINK,L&C Group of Companies Corporation [PH],5
4/2023/00522778,"4 September
2023",KATINKO LAVENDER BAR SOAP,"Greenstone Pharmaceutical, Inc. [PH]",3
4/2023/00522779,"4 September
2023",KATINKO GINGER OIL,"Greenstone Pharmaceutical, Inc. [PH]",3
4/2023/00522803,"5 September
2023",PAMELA FASHION CURTAIN,Philippine Sun City Marketing Corp. [PH],24
4/2023/00523168,"7 September
2023",SALLY,JOYCE AND DIANA WORLDWIDE INC [PH],20
4/2023/00523895,"13 September
2023",LX PRO,"GINES, HANSON CIOKON [PH]","7; 8; 9
and11"
4/2023/00523954,"14 September
2023",MATIMCO HOUSE OF WOOD,"MATIMCO, INC. [PH]",35
4/2023/00525126,"26 September
2023",ELLEN ELLA,Ella Corporation [PH],3
4/2023/00525743,2 October 2023,Nursure,LTHFOOD INDUSTRIES INC. [PH],29
4/2023/00525962,5 October 2023,JANUSCOG,Medifutures Philippines Inc. [PH],10
4/2023/00526165,6 October 2023,AJE BIG ROBUSTA COFFEE,ACAVA Limited [MT],30
4/2023/00526168,6 October 2023,AJE BIG ESPRESSO COFFEE,ACAVA Limited [MT],30
4/2023/00526380,10 October 2023,ELEGANCE,"Daum Co., Ltd. [KR]",25
4/2023/00528093,25 October 2023,"X-DEAL INNOVATION
IS A KEY TO SUCCESS","YAN, JINZHONG [PH]",9 and11
4/2023/00528135,27 October 2023,ALL-AM,Oxford Distributions Inc. [PH],29 and30
4/2023/00528137,27 October 2023,ALL-AM FREEDOM,Oxford Distributions Inc. [PH],29 and30
4/2023/00528139,27 October 2023,ALL-AM ROUTE 66,Oxford Distributions Inc. [PH],29 and30
4/2023/00528145,27 October 2023,ALL-AM RUSHMORE,Oxford Distributions Inc. [PH],29 and30
4/2023/00530014,"21 November
2023",YR YLLANA RACING ACADEMY,"Yllana, Jose Maria [PH]",41
4/2023/00530017,"21 November
2023",MAYBANK GLOBAL ACCESS,Malayan Banking Berhad [MY],9
4/2023/00530019,"21 November
2023",MAYBANK GLOBAL ACCESS,Malayan Banking Berhad [MY],16
4/2023/00531161,"4 December
2023",UNION,UNION GLOBAL MARKETING CORPORATION [PH],7; 8 and11
4/2023/00531332,"6 December
2023",KURO GAMES,"Guangzhou Kuro Technology Co., Ltd [CN]",9
4/2023/00531394,"6 December
2023",,"YANG MYEONG CO., LTD [KR]",29
4/2023/00532328,"19 December
2023",TROPERAN FORTE,ATC Healthcare International Corporation [PH],5
4/2023/00532409,"20 December
2023",COMMUNITIES BEYOND EXPECTATIONS,ALSONS DEVELOPMENT AND INVESTMENT CORPORATION [PH],36
4/2024/00500070,"18 December
2023",LA VIDA LENA,ABS-CBN Corporation [PH],41
4/2024/00500086,2 January 2024,WG WISEGEN,"OYAN, NICKLYN [PH]",25
4/2024/00500385,5 January 2024,FLAVA JULIET,"FABRO, GEN VINCENT
SERRANO [PH] andTAYABAN, LILAC SISON [PH]",35
4/2024/00500396,5 January 2024,ONE DECKING,"SHAOXING YONGSHENG NEW MATERIAL CO., LTD [CN]",19
4/2024/00500684,9 January 2024,PASTA CHEF EMILY,ELITE GOLD LTD. [PH],30
4/2024/00501124,15 January 2024,MTN DEW,"PepsiCo, Inc. [US]",32
4/2024/00501125,15 January 2024,LIFE WTR,"South Beach Beverage Company, Inc. [US]",32
4/2024/00501126,15 January 2024,LAYS SIMPLY,"PepsiCo, Inc. [US]",29
4/2024/00501376,17 January 2024,GRILLIS,"Go, Jules Ashley [PH]",43
4/2024/00501491,18 January 2024,KURV,"LUENGO, JASON [PH]",25
4/2024/00501551,18 January 2024,MERGLOW,"Espinas, Patrick [PH] andEspinas, Paul Vincent [PH]",3
4/2024/00501651,19 January 2024,SY GLOW WHITER & GLOWING SKIN,"PUTIAN, LOU NERIA MAESTRE [PH]",3
4/2024/00501943,23 January 2024,LOVE BUMP,"Rosales, Rachelle [PH]",25
4/2024/00501944,23 January 2024,ALPINA,"ONG, KING RANILLO [PH]",21
4/2024/00501947,23 January 2024,ESSENTIALS & BEYOND,"Resari, Iana Kristine [PH]",3 and4
4/2024/00501951,23 January 2024,"PIZZINO ""HOT PIZZA TO GO""","BUTAS, VICENTE GICARO [PH]",43
4/2024/00501954,23 January 2024,IWATCHYOU,Joan Joy V. Kim [PH],9 and37
4/2024/00501995,24 January 2024,BITS BIOMEDICAL,BITS - Biomedical Instrumentation & Technology Solutions Co. Ltd. [PH],42
4/2024/00502443,29 January 2024,CLOBITRIN-S,"Biocare Lifesciences, Inc. [PH]",5
4/2024/00502523,29 January 2024,GOLDEN FLAG PRINT & PACK,SINO PHIL OVERSEAS CULTURE DEVELOPMENT CORPORATION [CN],"1; 2; 7
and35"
4/2024/00502818,31 January 2024,SYNCFOCUS,SUPER CREATION SINGAPORE PTE LTD [SG],9
4/2024/00502819,31 January 2024,JOYTOP,"HANGZHOU JOYTOP STATIONERY, & GIFT CO. [CN]",16
4/2024/00502953,2 February 2024,MHAN DE FOOD,"MENDOZA, BENJAMIN JR [PH] andMENDOZA, BLESSIE MARIE [PH]",30
4/2024/00502964,2 February 2024,APO-PRO,ADAMA Makhteshim Ltd. [IL],5
4/2024/00503835,13 February 2024,BENCH CAFE,Suyen Corporation [PH],43
4/2024/00503954,13 February 2024,SINGER ARTS CAFE,"Uy, Stevenson [PH]",43
4/2024/00505216,26 February 2024,BODYFENSE,Suregetz Inc. [PH],5
4/2024/00505261,27 February 2024,AVO-E PLUS,AVOLUTION INC. [PH],9
4/2024/00505262,27 February 2024,PRSS,Physics Research-Sales & Services Corp. [PH],9
4/2024/00505263,27 February 2024,DAMITEÑO,"Ramos, Ramil [PH]",25
4/2024/00505265,27 February 2024,BANDWELL KIDS,BANDWELL PHARMACEUTICALS INC. [PH],5
